"sessiontitle","day","time","contenttrack","type","speakers","speakerpics","moderator-facilitator","venue"
"Fireside with Pasoori",""Day 1 - Friday, 6 Jan"","15:55","web3 / New Media","Fireside Chat","Mahina Reki, Lecturer - Nca Lahore ","","","Orion Auditorium @Convention"
"Opening Keynote: Mustafa Najoom",""Day 1 - Friday, 6 Jan"","16:15","Scaling Tech","Keynote","Mustafa Najoom, VP of Marketing &amp; Growth - Gaper.io","","","Orion Auditorium @Convention"
"Scaling Tech Business beyond $20M / annum",""Day 1 - Friday, 6 Jan"","16:30","Scaling Tech","Keynote","","","","Orion Auditorium @Convention"
"Power of Mergers &amp; Acquisitions in Tech Space",""Day 1 - Friday, 6 Jan"","16:45","Scaling Tech","Keynote","","","","Orion Auditorium @Convention"
"Taking Software Companies to PSX",""Day 1 - Friday, 6 Jan"","17:00","Scaling Tech","Keynote","","","","Orion Auditorium @Convention"
"Special Announcement",""Day 1 - Friday, 6 Jan"","17:15","Scaling Tech","Announcements","","","","Orion Auditorium @Convention"
"Building an Ecommerce Brand",""Day 1 - Friday, 6 Jan"","17:55","Ecommerce","Keynote","Mohammed Khanani, CEO - mGadgets","Mohammed Khanani.png (https://dl.airtable.com/.attachments/6e6480398f9bbd98e306f02e4a5c8c40/38fa71d8/MohammedKhanani.png)","","Orion Auditorium @Convention"
"Keynote on Smart Cities",""Day 1 - Friday, 6 Jan"","18:50","Policy &amp; Governance","Keynote","Abid Cheema, Board member and executive Director Business Development - FDHL","Abid Cheema.png (https://dl.airtable.com/.attachments/997df4935e8e46406a9d308414e677f4/343b9806/AbidCheema.png)","","Orion Auditorium @Convention"
"Keynote: Ayesha Sarwari - green investing and what corporates can do ",""Day 1 - Friday, 6 Jan"","19:00","Policy &amp; Governance","Keynote","Aisha Sarwari, Director Public Relations, Communications and Sustainability  - Coca-Cola ","Aisha Sarwari.png (https://dl.airtable.com/.attachments/8eff467b5907f72ceefb9c9975668a96/cfdc1a1f/AishaSarwari.png)","","Orion Auditorium @Convention"
"Climate Finance: Can Pakistan do it? ",""Day 1 - Friday, 6 Jan"","19:15","Policy &amp; Governance","Panel Discussion","Vardah Malik , CEO - Profectus Advisory Services Pvt Ltd , Maha Qasim, CEO - Zero-Point Partners, Saadia Qayyum, Energy Specialist - World Bank , Nameerah Hameed, Engagement Advisor  - Climate Outreach ","Vardah Malik.png (https://dl.airtable.com/.attachments/d71f1636a85731a83914665ad9437db2/db1abd33/VardahMalik.png),Maha Qasim.png (https://dl.airtable.com/.attachments/068a9b92af3865a6271173b62d36055c/c853febd/MahaQasim.png),Saadia Qayyum.png (https://dl.airtable.com/.attachments/f6c0aac66c91b656dacbd97cc932dd4b/27f79c82/SaadiaQayyum.png),Nameerah Hameed.png (https://dl.airtable.com/.attachments/c31a540b68692bfff62af2824b4c6ef2/8f2818d0/NameerahHameed.png)","","Orion Auditorium @Convention"
"Day Ends",""Day 1 - Friday, 6 Jan"","20:00","","","","","","Orion Auditorium @Convention"
"Roundtable  by Gaper.io",""Day 1 - Friday, 6 Jan"","18:00 - 19:30","Scaling Tech","Roundtable","","","Mustafa Najoom, VP of Marketing &amp; Growth - Gaper.io","Roundtable Room"
"Registrations Open (Day-2)",""Day 2 - Saturday, 7 Jan"","09:00","Registration","","","","","Expo Center Lahore"
"How to awaken the giant (meditation session)",""Day 2 - Saturday, 7 Jan"","10:30","World View","Performance","Naeem Zamindar, Founder - Neem","Naeem Zamindar.png (https://dl.airtable.com/.attachments/e1d6db7a9cc1cb35463523224ec6df9f/496b009f/NaeemZamindar.png)","","Pheonix Auditorium @Convention"
"Keynote: Rehan Allahwala Title TBD, a Future you can Make",""Day 2 - Saturday, 7 Jan"","11:00","World View","Keynote","Rehan Allahwala, Founder - Rehan Foundation","Rehan Allahwala.png (https://dl.airtable.com/.attachments/9c240649165e15d4beb8759db4e9c6e0/c7576bc0/RehanAllahwala.png)","","Pheonix Auditorium @Convention"
"Keynote",""Day 2 - Saturday, 7 Jan"","11:10","World View","Keynote","Amer Hashmi,  - ","","","Pheonix Auditorium @Convention"
"Panel: Facilitating Entrepreneurship in Pakistan",""Day 2 - Saturday, 7 Jan"","11:20 - 12:00","World View","Panel Discussion","","","Mubariz Siddiqui, Founder - Carbon Law","Pheonix Auditorium @Convention"
"The Future Depends on Data ",""Day 2 - Saturday, 7 Jan"","12:00","World View","Panel Discussion","Nadeem A. Malik, Director - Enterprise Business Group  - Oracle Pakistan, Syed Abdul Qadir, Executive Director - IT &amp; Cybersecurity Risk - A.F.Ferguson &amp; Co.(PwC Pakistan), Saquib Ahmad, Country Managing Director - SAP, Sadaf Shaikh , HEAD OF IT STRATEGY AND TRANSFORMATION - JS Bank","Nadeem A. Malik.png (https://dl.airtable.com/.attachments/876adb844ee31b54a3f84f10f03c4e97/e3f48304/NadeemA.Malik.png),Syed Abdul Qadir.png (https://dl.airtable.com/.attachments/99d13444682222c426ce880db604991d/76455c56/SyedAbdulQadir.png),Saquib Ahmad.png (https://dl.airtable.com/.attachments/f95ffc74d075cbd44511563ea190b590/7b772e0f/SaquibAhmad.png),Sadaf Shaikh.png (https://dl.airtable.com/.attachments/4fd3b0ad4c43a34dd35af45e3f9d9a50/3c88997a/SadafShaikh.png)","Inam Khawaja, Managing Partner - KLA - Kashir Law Associates &amp; KLADelta","Pheonix Auditorium @Convention"
"Keynote",""Day 2 - Saturday, 7 Jan"","12:35","World View","Keynote","Farhan Javed, Group Director - Graana","Farhan Javed.png (https://dl.airtable.com/.attachments/ce80309300314377c09ac581810766bd/ec92e3ac/FarhanJaved.png)","","Pheonix Auditorium @Convention"
"Keynote",""Day 2 - Saturday, 7 Jan"","12:45","World View","Keynote","Syed Sohail Hussain Naqvi, CEO - KnowlEDGE Streams (Pvt.) Ltd.","Syed Sohail Hussain Naqvi.png (https://dl.airtable.com/.attachments/44c29f2d9773fc690ead09030528351e/fb21e3e8/SyedSohailHussainNaqvi.png)","","Pheonix Auditorium @Convention"
"“East meets West”: Talking about Cultural Differences in Business",""Day 2 - Saturday, 7 Jan"","12:55","World View","Keynote","Carl Grant, CEO - Connexa Partners","Carl Grant.png (https://dl.airtable.com/.attachments/a603521583b91a02810e49d89dc85fe3/c63c2653/CarlGrant.png)","","Pheonix Auditorium @Convention"
"Innovating for the Future: Are we ready? ",""Day 2 - Saturday, 7 Jan"","13:05","World View","Panel Discussion","Khuram Rahat, Senior Country Director - Unifonic, AVM (R) Dr. Rizwan Riaz, Pro-Rector Research, Innovation &amp; Commercialization (RIC)  - NUST, Parvez Iftikhar, International ICT Consultant - Self Employed","Khuram Rahat.png (https://dl.airtable.com/.attachments/613026838f9b7b45e71da7bd3b93784c/080fba09/KhuramRahat.png),AVM (R) Dr. Rizwan Riaz.png (https://dl.airtable.com/.attachments/b22e188379745bc4753a97bc4bca7beb/dc4f8959/AVMRDr.RizwanRiaz.png),Parvez Iftikhar.png (https://dl.airtable.com/.attachments/1e8ba18f060a0b935e2a1cd07afe242b/45e45249/ParvezIftikhar.png)","Syed Abdul Qadir, Executive Director - IT &amp; Cybersecurity Risk - A.F.Ferguson &amp; Co.(PwC Pakistan)","Pheonix Auditorium @Convention"
"Keynote: Usman Asif ",""Day 2 - Saturday, 7 Jan"","13:40","World View","Keynote","Usman Asif, CEO  - DevsInc","Usman Asif.png (https://dl.airtable.com/.attachments/500e99d279d904eb495a01cd4c4c5ade/5f89be9f/UsmanAsif.png)","","Pheonix Auditorium @Convention"
"Fireside Chat: Topic TBD",""Day 2 - Saturday, 7 Jan"","14:00","World View","Fireside Chat","Krinza Momin, Developer Relations Engineer - Ankr, Jibran Tahir, Founder &amp; CEO - Manifest Studios","Krinza Momin.png (https://dl.airtable.com/.attachments/8a601f02695fb06a4820f70160907c59/ed0ebc21/KrinzaMomin.png),Jibran Tahir.png (https://dl.airtable.com/.attachments/57ced4da17ad93b5cb2bf6fe0b84da80/99578c30/JibranTahir.png)","","Pheonix Auditorium @Convention"
"Keynote",""Day 2 - Saturday, 7 Jan"","14:10","World View","Keynote","Shahbaz Ali Taseer, Director - First Capital Group","Shahbaz Ali Taseer.png (https://dl.airtable.com/.attachments/9403cfb29ca703f5fbba7d377b5b979b/71ee0458/ShahbazAliTaseer.png)","","Pheonix Auditorium @Convention"
"Keynote: Sadaffe Abid",""Day 2 - Saturday, 7 Jan"","14:20","World View","Keynote","Sadaffe Abid, CEO - Circle Women","Sadaffe Abid.png (https://dl.airtable.com/.attachments/95b252f21f8ab33af71c665b3b3948c9/e89233ac/SadaffeAbid.png)","","Pheonix Auditorium @Convention"
"Opening Keynote: Every digital platform will become a finance platform",""Day 2 - Saturday, 7 Jan"","14:30","Financial Revolution","Keynote","Naeem Zamindar, Founder - Neem","Naeem Zamindar.png (https://dl.airtable.com/.attachments/e1d6db7a9cc1cb35463523224ec6df9f/496b009f/NaeemZamindar.png)","","Pheonix Auditorium @Convention"
